zero of S position (m) defined 2m before the entrance of the first dipole;Stabilised Pressure profils Dose = 100A*h (4BA section);;;;;;;;;;;;;;;
Current ?;1mA;;;;10mA;;;;100mA;;;;500mA;;;
Average (mbar)?;5,08E-12;2,84E-14;3,51E-14;5,14E-12;6,61E-12;4,06E-14;4,65E-14;6,70E-12;2,20E-11;1,63E-13;1,61E-13;2,23E-11;9,02E-11;7,06E-13;6,67E-13;9,16E-11
S position (m);H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total
0,61;4,53E-12;2,82E-14;6,05E-14;4,62E-12;4,54E-12;1,15E-13;4,13E-13;5,07E-12;4,60E-12;9,86E-13;3,94E-12;9,52E-12;4,86E-12;4,86E-12;1,96E-11;2,93E-11
0,62;4,55E-12;3,88E-14;2,20E-14;4,61E-12;4,56E-12;2,24E-13;2,73E-14;4,81E-12;4,61E-12;2,07E-12;7,99E-14;6,76E-12;4,84E-12;1,03E-11;3,14E-13;1,54E-11
0,63;4,54E-12;3,43E-14;3,44E-14;4,61E-12;4,55E-12;1,74E-13;1,39E-13;4,86E-12;4,59E-12;1,57E-12;1,19E-12;7,35E-12;4,77E-12;7,79E-12;5,84E-12;1,84E-11
0,64;4,56E-12;2,78E-14;2,91E-14;4,62E-12;4,56E-12;1,03E-13;7,55E-14;4,74E-12;4,60E-12;8,56E-13;5,40E-13;5,99E-12;4,75E-12;4,20E-12;2,60E-12;1,16E-11
0,65;4,48E-12;2,06E-14;2,41E-14;4,53E-12;4,49E-12;3,84E-14;2,99E-14;4,56E-12;4,52E-12;2,16E-13;8,83E-14;4,83E-12;4,68E-12;1,01E-12;3,48E-13;6,03E-12
0,66;4,47E-12;2,53E-14;2,65E-14;4,52E-12;4,47E-12;8,51E-14;5,51E-14;4,61E-12;4,51E-12;6,83E-13;3,41E-13;5,53E-12;4,66E-12;3,34E-12;1,61E-12;9,61E-12
0,67;4,42E-12;2,76E-14;2,41E-14;4,47E-12;4,43E-12;9,64E-14;2,52E-14;4,55E-12;4,46E-12;7,84E-13;3,62E-14;5,28E-12;4,62E-12;3,84E-12;8,50E-14;8,54E-12
0,68;4,46E-12;2,40E-14;2,89E-14;4,52E-12;4,47E-12;6,08E-14;6,05E-14;4,59E-12;4,50E-12;4,29E-13;3,76E-13;5,31E-12;4,66E-12;2,06E-12;1,78E-12;8,51E-12
0,69;4,45E-12;2,37E-14;2,60E-14;4,50E-12;4,46E-12;5,68E-14;4,72E-14;4,56E-12;4,49E-12;3,87E-13;2,60E-13;5,14E-12;4,63E-12;1,86E-12;1,20E-12;7,69E-12
0,70;4,44E-12;2,37E-14;2,38E-14;4,49E-12;4,44E-12;5,20E-14;3,80E-14;4,53E-12;4,47E-12;3,35E-13;1,80E-13;4,99E-12;4,62E-12;1,59E-12;8,10E-13;7,02E-12
