zero of S position (m) defined 1334,4m before the entrance of the first dipole;Stabilised Pressure profils Dose = 0,1A*h (7BA section);;;;;;;;;;;;;;;
Current ?;1mA;;;;10mA;;;;100mA;;;;500mA;;;
Average (mbar)?;1,46E-10;6,94E-12;1,73E-12;1,55E-10;1,42E-09;6,92E-11;1,70E-11;1,50E-09;1,41E-08;6,91E-10;1,70E-10;1,50E-08;7,06E-08;3,46E-09;8,49E-10;7,49E-08
S position (m);H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total
0,01;1,25E-11;8,70E-14;3,95E-14;1,27E-11;8,59E-11;7,12E-13;1,85E-13;8,68E-11;8,20E-10;6,96E-12;1,64E-12;8,28E-10;4,08E-09;3,47E-11;8,09E-12;4,12E-09
0,02;1,18E-11;7,69E-14;3,69E-14;1,19E-11;7,78E-11;6,02E-13;1,66E-13;7,86E-11;7,38E-10;5,86E-12;1,45E-12;7,45E-10;3,67E-09;2,92E-11;7,18E-12;3,71E-09
0,03;1,03E-11;3,63E-14;3,21E-14;1,04E-11;6,42E-11;2,52E-13;1,17E-13;6,46E-11;6,03E-10;2,41E-12;9,67E-13;6,06E-10;3,00E-09;1,20E-11;4,75E-12;3,01E-09
0,04;9,83E-12;3,71E-14;2,70E-14;9,89E-12;5,81E-11;2,42E-13;7,17E-14;5,84E-11;5,41E-10;2,29E-12;5,19E-13;5,44E-10;2,69E-09;1,14E-11;2,51E-12;2,70E-09
0,05;1,00E-11;2,62E-14;2,22E-14;1,01E-11;5,76E-11;1,22E-13;5,64E-14;5,78E-11;5,33E-10;1,08E-12;3,99E-13;5,35E-10;2,65E-09;5,36E-12;1,92E-12;2,65E-09
0,06;9,61E-12;2,72E-14;2,38E-14;9,66E-12;5,29E-11;9,51E-14;5,37E-14;5,30E-11;4,86E-10;7,75E-13;3,53E-13;4,87E-10;2,41E-09;3,80E-12;1,68E-12;2,41E-09
0,07;9,34E-12;1,93E-14;2,37E-14;9,38E-12;5,36E-11;3,50E-14;3,15E-14;5,37E-11;4,97E-10;1,92E-13;1,09E-13;4,97E-10;2,47E-09;8,91E-13;4,55E-13;2,47E-09
0,08;8,50E-12;2,69E-14;1,78E-14;8,54E-12;4,52E-11;7,50E-14;2,49E-14;4,53E-11;4,12E-10;5,56E-13;9,58E-14;4,13E-10;2,04E-09;2,70E-12;4,11E-13;2,05E-09
