zero of S position (m) defined 1334,4m before the entrance of the first dipole;Stabilised Pressure profils Dose = 100A*h (7BA section);;;;;;;;;;;;;;;
Current ?;1mA;;;;10mA;;;;100mA;;;;500mA;;;
Average (mbar)?;6,58E-12;4,60E-14;5,60E-14;6,68E-12;1,03E-11;5,76E-14;5,65E-14;1,04E-11;4,72E-11;1,74E-13;6,16E-14;4,74E-11;2,11E-10;6,91E-13;8,44E-14;2,12E-10
S position (m);H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total
0,01;4,22E-12;1,78E-14;2,28E-14;4,26E-12;4,38E-12;1,79E-14;2,28E-14;4,42E-12;5,96E-12;1,87E-14;2,29E-14;6,00E-12;1,30E-11;2,20E-14;2,30E-14;1,30E-11
0,02;4,48E-12;1,86E-14;2,93E-14;4,52E-12;4,62E-12;1,87E-14;2,93E-14;4,67E-12;6,09E-12;1,92E-14;2,93E-14;6,14E-12;1,26E-11;2,17E-14;2,94E-14;1,26E-11
0,03;4,52E-12;1,65E-14;2,96E-14;4,57E-12;4,65E-12;1,65E-14;2,96E-14;4,70E-12;5,96E-12;1,68E-14;2,97E-14;6,00E-12;1,18E-11;1,83E-14;2,98E-14;1,18E-11
0,04;4,16E-12;2,09E-14;2,29E-14;4,20E-12;4,29E-12;2,09E-14;2,29E-14;4,33E-12;5,58E-12;2,11E-14;2,29E-14;5,62E-12;1,13E-11;2,20E-14;2,30E-14;1,13E-11
0,05;4,33E-12;1,72E-14;2,39E-14;4,37E-12;4,44E-12;1,73E-14;2,39E-14;4,48E-12;5,60E-12;1,74E-14;2,39E-14;5,64E-12;1,08E-11;1,81E-14;2,39E-14;1,08E-11
0,06;4,37E-12;2,38E-14;2,83E-14;4,42E-12;4,49E-12;2,38E-14;2,83E-14;4,54E-12;5,64E-12;2,39E-14;2,83E-14;5,69E-12;1,08E-11;2,44E-14;2,84E-14;1,08E-11
0,07;4,43E-12;1,92E-14;2,78E-14;4,48E-12;4,52E-12;1,92E-14;2,78E-14;4,57E-12;5,47E-12;1,92E-14;2,78E-14;5,52E-12;9,70E-12;1,95E-14;2,78E-14;9,74E-12
0,08;4,34E-12;1,96E-14;2,52E-14;4,39E-12;4,43E-12;1,96E-14;2,52E-14;4,47E-12;5,28E-12;1,97E-14;2,52E-14;5,32E-12;9,05E-12;1,99E-14;2,52E-14;9,10E-12
